campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20002425_2,,,0.5,
WOW20002425_2,,,5.3,
WOW20002425_2,,,9953.6,
WOW20002425_2,1065.0,3148.0,2.5,36.79906824316904
WOW20002425_2,1073.0,1268.0,1.1,-15.5942822312198
WOW20002425_2,1085.0,4351.0,0.2,21.345578438009184
WOW20002425_2,1103.0,2723.0,0.2,-90.68781165144696
WOW20002425_2,1113.0,2741.0,0.9,108.32499359568621
WOW20002425_2,1114.0,3112.0,1.5,165.84562861707767
WOW20002425_2,1118.0,3124.0,-3.2,-174.6247265472546
WOW20002425_2,1120.0,5601.0,2.4,245.91313684693347
WOW20002425_2,1124.0,1102.0,-3.3,-300.6020051788008
WOW20002425_2,1136.0,4388.0,1.4,173.32185081858466
WOW20002425_2,1137.0,1132.0,-0.9,-284.3227505133306
WOW20002425_2,1139.0,4855.0,4.0,403.9829939653051
WOW20002425_2,1154.0,1208.0,-5.7,-45.04201951975771
WOW20002425_2,1160.0,1372.0,1.1,180.97308233221545
WOW20002425_2,1161.0,1302.0,1.0,189.03271892162724
WOW20002425_2,1162.0,2549.0,0.3,-71.57190755673416
WOW20002425_2,1163.0,2515.0,1.0,142.12035752736904
WOW20002425_2,1178.0,3302.0,7.5,217.6012729722105
WOW20002425_2,1199.0,1416.0,-4.2,-612.800019595768
WOW20002425_2,1203.0,3352.0,-5.9,-835.0194856169983
WOW20002425_2,1205.0,1190.0,-0.2,-165.67264506597064
WOW20002425_2,1207.0,2609.0,3.9,366.87174567184314
WOW20002425_2,1209.0,3299.0,0.7,-30.946795784277924
WOW20002425_2,1213.0,4313.0,1.1,145.8885296436869
WOW20002425_2,1248.0,7202.0,11.3,3740.5734072974374
WOW20002425_2,1249.0,2552.0,0.4,-67.3487072349897
WOW20002425_2,1250.0,2558.0,-5.5,-687.4453827177355
WOW20002425_2,1253.0,3066.0,0.1,-99.79265641321865
WOW20002425_2,1274.0,1030.0,0.6,22.6376231455433
WOW20002425_2,1279.0,1148.0,5.3,241.53652674063704
WOW20002425_2,1297.0,4603.0,0.4,1.595273805034581
WOW20002425_2,1392.0,1282.0,0.7,114.11137473119565
WOW20002425_2,1412.0,1470.0,-9.2,-138.70135401241862
WOW20002425_2,1415.0,2662.0,-1.9,-482.83768203322717
WOW20002425_2,1419.0,3221.0,0.7,97.67735242854788
WOW20002425_2,1472.0,2767.0,0.6,82.7123227338329
WOW20002425_2,1557.0,1401.0,0.4,63.80750731223006
WOW20002425_2,1573.0,5615.0,0.4,-64.93951452560745
WOW20002425_2,1641.0,1313.0,0.4,-90.26726842708712
WOW20002425_2,1757.0,1112.0,-0.2,-144.47816008250078
WOW20002425_2,1787.0,1273.0,0.7,88.88290693025309
WOW20002425_2,2048.0,1761.0,-4.5,-852.6091862436326
WOW20002425_2,2516.0,1167.0,-0.0,-158.99371144877594
WOW20002425_2,2541.0,5901.0,5.9,538.5014267003891
WOW20002425_2,2564.0,3053.0,-5.9,-184.87682520025783
WOW20002425_2,2565.0,1210.0,4.7,140.82442446038092
WOW20002425_2,2570.0,1129.0,-0.6,-31.27602645981773
WOW20002425_2,2574.0,1648.0,9.1,1313.822063274206
WOW20002425_2,2592.0,2883.0,-0.1,7.37177778118708
WOW20002425_2,2596.0,4317.0,0.7,24.968610695397807
WOW20002425_2,2611.0,2076.0,0.6,-21.32132808308082
WOW20002425_2,2624.0,3143.0,0.8,-21.54139641352881
WOW20002425_2,2644.0,2749.0,-7.7,-1481.800961164199
WOW20002425_2,2645.0,1934.0,0.5,42.75001973885685
WOW20002425_2,2651.0,1099.0,-9.0,-694.047894443648
WOW20002425_2,2756.0,2702.0,8.6,390.9571239826442
WOW20002425_2,3127.0,1358.0,-1.7,-154.59653529221922
WOW20002425_2,3129.0,1310.0,-4.1,-292.94991446870563
WOW20002425_2,3134.0,3343.0,10.9,614.9047506948472
WOW20002425_2,3135.0,2762.0,1.0,168.85196352323214
WOW20002425_2,3136.0,1228.0,0.0,-108.4384146834781
WOW20002425_2,3139.0,5702.0,0.3,-98.41901443816604
WOW20002425_2,3149.0,4320.0,-2.1,-265.25361829446143
WOW20002425_2,3162.0,2508.0,0.6,32.4399181458567
WOW20002425_2,3165.0,1288.0,-1.0,-169.2950244084495
WOW20002425_2,3173.0,5610.0,0.2,-85.9566746425961
WOW20002425_2,3183.0,3381.0,0.2,-98.96442048841642
WOW20002425_2,3188.0,2137.0,8.4,492.7212998598102
WOW20002425_2,3191.0,3214.0,-8.2,-384.8082426666499
WOW20002425_2,3205.0,3260.0,-4.4,-512.5487296985058
WOW20002425_2,3218.0,4307.0,2.2,185.67700180645062
WOW20002425_2,3263.0,1192.0,1.9,192.19097973013908
WOW20002425_2,3267.0,2576.0,-1.7,-261.4980870184138
WOW20002425_2,3278.0,1184.0,0.1,-123.71592178803941
WOW20002425_2,3279.0,2655.0,-2.8,-889.3060158158603
WOW20002425_2,3287.0,3270.0,-0.7,-38.86683489356615
WOW20002425_2,3298.0,3235.0,0.9,144.79668168416123
WOW20002425_2,3304.0,3384.0,1.5,354.65140769361403
WOW20002425_2,3311.0,4686.0,1.0,139.70503349235548
WOW20002425_2,3325.0,2568.0,0.5,44.923073129333076
WOW20002425_2,3393.0,1183.0,0.7,96.76711868135696
WOW20002425_2,3399.0,3101.0,0.7,129.7077051224104
WOW20002425_2,3604.0,2643.0,0.2,-116.11860927499542
WOW20002425_2,3714.0,1242.0,0.3,-56.74176037394755
WOW20002425_2,3969.0,3371.0,-3.2,-371.9233967142792
WOW20002425_2,4302.0,2547.0,71.9,197.16018478711848
WOW20002425_2,4327.0,3290.0,0.6,34.30391629011082
WOW20002425_2,4359.0,1624.0,0.3,43.95636704361714
WOW20002425_2,4370.0,4338.0,0.5,23.707445559137156
WOW20002425_2,4374.0,3344.0,0.3,80.1167972431349
WOW20002425_2,4383.0,3395.0,1.5,223.29524900632953
WOW20002425_2,4387.0,1579.0,0.9,116.63156812119979
WOW20002425_2,5311.0,2700.0,0.1,-102.94557411924916
WOW20002425_2,5630.0,3361.0,-10.7,-819.214441791941
WOW20002425_2,5639.0,1932.0,0.3,2.157870347732853
WOW20002425_2,5653.0,4395.0,-0.1,-125.2356196209917
WOW20002425_2,5682.0,2590.0,0.9,88.51603823097294
WOW20002425_2,7001.0,2559.0,0.1,-122.23806478764232
WOW20002425_2,7003.0,4857.0,-0.1,-150.82598864682274
WOW20002425_2,7008.0,1632.0,-7.0,-771.8200998586791
WOW20002425_2,7058.0,1127.0,-1.5,-351.254930555927
WOW20002425_2,7203.0,3150.0,0.4,-2.859096124592939
WOW20002425_2,7211.0,2683.0,2.9,660.8056557612102
WOW20002425_2,7220.0,4333.0,-0.7,-350.38507340624665
